frame_id,x,y,z,yaw
811,1.13102,0.0641661,-3.71313,3.05199
805,1.06,0.066069,-3.65309,3.05925
807,1.08196,0.0656663,-3.67156,3.05762
808,1.09554,0.065131,-3.68335,3.05584
812,1.14622,0.0642683,-3.72504,3.05308
814,1.19705,0.0628907,-3.76797,3.05203
821,1.28907,0.0610949,-3.84499,3.049
818,1.24788,0.0618384,-3.81095,3.05223
815,1.20788,0.0627942,-3.77694,3.05352
817,1.23716,0.0621277,-3.80171,3.05298
825,1.34187,0.0604189,-3.88919,3.04777
819,1.26219,0.0615168,-3.82279,3.05109
827,1.37166,0.0597252,-3.91411,3.04822
838,1.53979,0.0560205,-4.03207,3.03899
823,1.31476,0.0607906,-3.86619,3.05074
834,1.47657,0.0577755,-3.98994,3.04128
836,1.5073,0.0564333,-4.01009,3.03785
830,1.41592,0.0588786,-3.94733,3.04631
832,1.44583,0.0582781,-3.96857,3.04193
837,1.52657,0.0562539,-4.02303,3.03929
846,1.66645,0.0539488,-4.11128,3.03587
844,1.63551,0.0544149,-4.09296,3.03523
850,1.73094,0.0524475,-4.14741,3.03306
848,1.69854,0.0533689,-4.12906,3.03587
840,1.57248,0.0556108,-4.05334,3.03995
852,1.76411,0.0518756,-4.16572,3.03248
849,1.71743,0.0532919,-4.13958,3.03621
853,1.83455,0.0520913,-4.20525,3.02816
851,1.75088,0.0523025,-4.15905,3.03296
855,1.87214,0.0493229,-4.22767,3.02341
854,1.85297,0.0497903,-4.21712,3.02773
857,1.91168,0.0476823,-4.24733,3.01793
856,1.8902,0.0482821,-4.23616,3.02373
865,2.04905,0.0468724,-4.31114,3.01662
867,2.08465,0.0436127,-4.32715,3.00925
869,2.11882,0.0447865,-4.34134,3.00951
872,2.17322,0.0421815,-4.36497,2.99955
875,2.22254,0.0418948,-4.38349,2.9961
874,2.20157,0.0417169,-4.37588,2.9963
877,2.2579,0.0404738,-4.39618,2.99079
878,2.27976,0.0405408,-4.40394,2.99341
879,2.29468,0.0396415,-4.40856,2.99082
880,2.31668,0.0397187,-4.41631,2.98923
876,2.23702,0.0416387,-4.38862,2.99879
882,2.35213,0.0380411,-4.42779,2.97842
883,2.36878,0.0381389,-4.43304,2.97746
881,2.3316,0.0388485,-4.42109,2.98373
884,2.38968,0.0376947,-4.4396,2.97455
887,2.44641,0.036288,-4.45647,2.96858
885,2.40388,0.0370754,-4.44399,2.9691
890,2.50173,0.035484,-4.47255,2.96259
888,2.46332,0.0360726,-4.46124,2.96847
886,2.42554,0.0366749,-4.45073,2.96525
889,2.48497,0.0358656,-4.46813,2.96335
893,2.62497,0.0333223,-4.52699,2.95708
892,2.61063,0.033412,-4.52265,2.95195
891,2.52311,0.0348153,-4.4782,2.95951
894,2.6436,0.0330941,-4.5329,2.95983
897,2.68999,0.0320957,-4.54764,2.95121
896,2.67636,0.0326627,-4.54384,2.95431
895,2.65708,0.0328279,-4.53733,2.95537
899,2.72142,0.0314896,-4.55742,2.95507
904,2.80655,0.0301457,-4.58425,2.95633
901,2.75387,0.0308503,-4.56787,2.95228
902,2.77215,0.0304903,-4.57361,2.95165
900,2.73957,0.0311542,-4.56294,2.95511
905,2.82589,0.0296761,-4.59016,2.95894
903,2.79089,0.0301131,-4.57928,2.95356
906,2.84653,0.0294308,-4.59679,2.95552
912,2.9442,0.0270104,-4.62553,2.94721
908,2.87893,0.0284768,-4.60673,2.95336
910,2.91194,0.0277121,-4.61685,2.9486
907,2.86055,0.0290676,-4.60105,2.95407
909,2.89455,0.0284846,-4.61151,2.95476
913,2.95945,0.0268457,-4.62967,2.94819
911,2.92531,0.0275227,-4.62075,2.95062
916,3.01014,0.0264506,-4.64274,2.9427
914,2.98133,0.0271466,-4.63524,2.94875
917,3.02791,0.0256501,-4.6469,2.93371
919,3.06053,0.0255024,-4.6547,2.93209
915,2.99576,0.0268407,-4.63894,2.94615
918,3.04252,0.0256024,-4.65087,2.93384
920,3.07388,0.0252831,-4.65846,2.9273
925,3.16099,0.0229119,-4.67648,2.90604
924,3.14524,0.0226953,-4.67344,2.90359
922,3.10746,0.023887,-4.66567,2.91341
926,3.17968,0.0227243,-4.68034,2.90092
928,3.21716,0.0230409,-4.68816,2.8951
930,3.25087,0.0227919,-4.69468,2.88263
931,3.26537,0.0226935,-4.6968,2.87932
927,3.19607,0.023027,-4.68395,2.90042
934,3.31848,0.0226572,-4.70672,2.86547
932,3.28318,0.0222252,-4.70035,2.87301
935,3.33249,0.0223915,-4.70876,2.87086
937,3.36544,0.0212895,-4.71434,2.84568
944,3.48679,0.0192591,-4.73145,2.80209
938,3.3863,0.0212247,-4.71735,2.8461
940,3.42068,0.0199528,-4.72267,2.82638
943,3.46637,0.0187348,-4.72935,2.80665
941,3.43593,0.019829,-4.72495,2.821
947,3.53596,0.0168327,-4.73837,2.77356
945,3.50364,0.0174754,-4.73473,2.78507
948,3.55634,0.0162841,-4.74015,2.76192
951,3.60484,0.0153698,-4.7447,2.73128
958,3.73034,0.014712,-4.75507,2.62836
952,3.63081,0.0147323,-4.74797,2.7115
